Code Status For :500,521,522,523,524,533,544,566,577,588	File Updated :02/11/2020
NPA	NXX	Use	OCN 	Company                                                     
500	495	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	496	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	497	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	498	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	499	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	500	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	501	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	502	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	503	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	504	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	505	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	506	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	507	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	508	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	509	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	510	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	511	UA	    	                                                            
500	512	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	513	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	514	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	515	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	516	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	517	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	518	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	519	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	520	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	521	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	522	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	523	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	524	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	525	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	526	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	527	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	528	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	529	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	530	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	531	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	532	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	533	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	534	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	535	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	536	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	537	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	538	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	539	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	540	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	541	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	542	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	543	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	544	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	545	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	546	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	547	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	548	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	549	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	550	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	551	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	552	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	553	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	554	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	555	UA	    	                                                            
500	556	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	557	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	558	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	559	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	560	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	561	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	562	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	563	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
